Aircraft_Type,Check_A_Part_Price,Check_B_Part_Price,Check_C_Part_Price
A319,7.64,29.87,1470.8
A319,7.425,19.98,464.29
A319,7.683,37.18,566.33
A319,5.621,43.35,1912.04
A319,6.605,10.77,577.65
A319,7.381,38.19,2039.53
A319,9.589,27.7,862.88
A319,9,45.63,230.97
A319,6.509,57.54,2165.18
A319,5.968,50.47,670.08
A319,8.949,40.54,2088.76
A319,9.24,65.4,1237.26
A319,6.418,31.65,299.53
A319,9.132,45.48,1149.8
A319,8.6,63.65,1464.13
A319,8.864,27.41,402.31
A319,8.839,60.38,1024.94
A319,9.237,48.99,542.6
A319,6.173,53.77,845.33
A319,6.902,53.74,1080.12
A319,9.367,62.8,944.99
A319,8.524,32.14,735.17
A319,5.777,40.84,1955.43
A319,7.361,39.71,750.17
A319,7.059,12.34,265.56
A319,7.923,67.19,1989.38
A319,8.724,44.78,1484.34
A319,79.78,34.22,816.16
A319,9.037,69.91,248.7
A319,9.482,44.54,1420.84
A319,6.199,25.23,1637.6
A319,6.501,59.22,707.03
A319,9.55,15.27,1389.47
A319,8.953,39.17,1869.02
A319,7.242,45.83,284.86
A319,8.927,64.64,265.94
A319,9.112,11.5,1137.79
A319,6.096,67.55,925.87
A319,8.469,18.01,1748.57
A319,6.757,30.06,1183.41
A319,9.019,56.41,1427.76
A319,8.182,47.94,791.92
A319,9.449,64.09,634.19
A319,6.681,14.62,260.25
A319,8.607,39.01,1143.78
A319,7.52,62.57,2102.66
A319,9.22,12.92,1435.47
A319,5.963,57.07,1130.3
A319,7.607,52.42,1314.11
A319,7.677,24.15,473.78
A319,6.029,67.51,2086.97
A319,8.077,16.94,1770.53
A319,7.976,61.37,223.57
A319,6.687,54.03,709.81
A319,9.415,17.86,1184.99
A319,9.341,66.02,1786.86
A319,6.425,46.71,1933.5
A319,5.883,42.54,1751.29
A319,6.624,53.96,1999.1
A319,6.276,29.4,2157.19
A319,6.291,40.96,1528.38
A319,7.225,55.52,2023.91
A319,7.158,47.58,1386.98
A319,6.227,34.38,1164.23
A319,6.003,17.94,1827.49
A319,5.768,44.77,1709.94
A319,9.22,17.5,1013.46
A319,7.279,47.85,1264.9
A319,9.368,36.03,603.22
A319,8.832,45.47,679.85
A319,6.553,21.3,250.14
A319,5.619,66.07,1600.75
A319,7.279,34.34,1285.62
A319,7.097,33.09,1747.36
A319,6.999,69.37,2170.26
A319,8.251,46.13,1826.33
A319,7.02,31.16,978.7
A319,6.215,33.91,886.52
A319,6.543,31.36,722.28
A319,7.929,39.39,2022.89
A319,8.2,68.64,1698.6
A319,6.224,21.67,1801.31
A319,8.171,35.65,570.58
A319,6.548,13.53,1913.39
A319,7.566,18.46,1075.96
A319,8.175,50.42,1428.93
A319,6.108,57.42,1052.5
A319,6.161,67.21,1271.05
A319,9.463,35.1,1055.75
A319,9.534,42.51,1238.75
A319,7.852,36.61,245.37
A319,6.671,13.81,1803.05
A319,6.673,63.63,867.83
A319,8.774,61.43,1969.47
A319,6.524,22.58,1656.43
A319,7.855,60.05,1230.51
A319,6.407,23.36,448.43
A319,9.425,30.83,475.75
A319,6.769,38.33,623.31
A319,5.717,29.68,1770.79
A319,7.109,15.88,405.35
A319,8.461,10.87,1944.5
A319,8.403,55.48,1252
A319,8.204,26.46,1489.33
A319,9.335,43.26,2067.32
A319,9.424,17.32,224.15
A319,9.38,43.83,1505.3
A319,9.215,25.89,1782.98
A319,9.501,58.84,1546.79
A319,9.466,30.17,1430.57
A319,8.02,20.54,1046.62
A319,8.607,62.92,1246.64
A319,9.349,68.51,561.69
A319,6.35,25.77,2018.76
A319,7.571,69.27,925.6
A319,8.192,39.7,1669.3
A319,7.103,63.08,730.85
A319,9.443,57.64,1909.74
A319,6.013,26.17,1110.24
A319,6.77,24.31,967.71
A319,6.06,11.51,863.61
A319,9.573,30.12,1778.59
A319,9.238,45.29,1812.21
A319,8.551,60.56,1776.68
A319,6.072,28.1,1624.93
A319,6.445,63.96,1978.08
A319,5.763,58.81,1084.66
A319,6.816,22.63,2053.62
A319,8.645,23.34,1305.03
A319,5.764,56.29,1562.57
A319,9.478,47.02,507.28
A319,6.065,38.13,1631.47
A319,6.45,37.77,930.99
A319,7.44,32.59,444.19
A319,5.94,46.73,275.07
A319,8.659,30.85,2114.18
A319,7.966,13.25,735.8
A319,7.722,37.39,1185.51
A319,5.971,62.13,1179.85
A319,6.983,61.61,593.62
A319,7.325,46.23,1265.65
A319,8.392,38.78,780.96
A319,9.5,25.6,292.95
A319,7.507,62.83,1587.12
A319,8.605,36.63,1187.43
A319,6.092,39.38,1076.28
A319,7.974,12.42,1721.59
A319,9.332,40.23,393.52
A319,8.531,16.39,851.11
A319,7.326,38.22,353.74
A319,7.121,69.51,1079.82
A319,6,32.87,1221.61
A319,8.443,65.85,2069.23
A319,8.66,13.23,1008.64
A319,9.509,55.47,1547.17
A319,6.673,29.03,793.47
A319,5.959,51.88,1102.97
A319,7.282,13.72,585.14
A319,6.997,17.24,1883.81
A319,7.454,17.46,1469.19
A319,5.779,67.65,1349.71
A319,7.009,27.41,1014.93
A319,9.428,26.88,889.76
A319,8.284,58.9,736.24
A319,6.031,44.52,1085.78
A319,6.32,25.85,330.99
A319,7.822,51.58,1311.93
A319,6.856,59.62,1472.61
A319,8.215,57.41,408.71
A319,5.905,27.4,1537.86
A319,8.647,48.18,790.94
A319,7.567,19.69,409.41
A319,9.082,33.32,1982.32
A319,6.602,21.6,1657.1
A319,7.662,48.06,2023.47
A319,5.77,24.51,1888.77
A319,9.365,42.81,1677.19
A319,8.928,20.71,1161.18
A319,6.828,28.26,2000.72
A319,8.106,58.31,1166.57
A319,7.575,39.39,1918.55
A319,7.918,26.91,1134.37
A319,9.384,69.53,2127.63
A319,5.684,54.9,1438.65
A319,7.906,45.66,842.33
A319,7.876,58.02,1972.72
A319,7.653,63.31,701.42
A319,6.38,69.79,477.84
A319,7.761,25.71,748.67
A319,6.298,58.93,2123.49
A319,7.156,56.53,771.14
A319,8.813,65.83,668.71
A319,5.644,58.92,1248.58
A319,8.986,28.61,2045.57
A319,9.333,36.46,1768.37
A319,6.03,20.76,2162.75
A319,8.005,27.71,1185.89
A319,6.337,49.15,592.16
A319,5.923,18.06,1264.45
A319,9.146,15.22,282.59
A319,8.257,36.89,1745.64
A319,9.235,16.17,1966.54
A319,5.686,59.96,343.6
A319,6.791,61.08,1113.58
A319,5.762,35.05,810.71
A319,9.545,25.17,1507.15
A319,9.088,39.64,1265.32
A319,8.943,56.2,1066.92
A319,6.481,66.58,359.65
A319,7.917,28.51,1210.62
A319,5.775,63.52,1663.14
A319,9.092,44.78,787.18
A319,9.488,29.66,421.23
A319,8.06,16.66,564.07
A319,6.732,28.2,1846.23
A319,8.492,49.85,452.89
A319,8.69,15.4,1868.33
A319,6.335,61.02,1578.3
A319,8.414,40.39,2180.59
A319,6.813,23.68,1718.55
A319,8.429,45.61,386.77
A319,9.362,59.78,477.88
A319,6.681,22.01,1353.22
A319,5.964,27.92,461.37
A319,9.161,17.03,2023.46
A319,6.579,59.19,2082.92
A319,7.607,12.03,424.86
A319,9.002,23.07,586.29
A319,7.728,11.36,1021.46
A319,6.787,27.36,1012.43
A319,7.527,21.57,584.57
A319,7.325,44.6,1019.55
A319,7.537,37.13,2129.23
A319,8.231,62.07,1117.44
A319,9.405,28.67,362.76
A319,6.398,25.06,946.67
A319,5.704,67.85,614.31
A319,7.59,31.47,383.95
A319,8.187,12.89,1070.63
A319,6.455,14.28,1794.94
A319,7.282,47.5,1826.96
A319,5.767,37.98,1306.31
A319,7.746,42.8,397.36
A319,6.008,18.87,1341
A319,6.697,29.56,2163.17
A319,6.199,53.53,1533.58
A319,8.258,67.92,871.83
A319,8.947,55.7,1336.21
A319,8.873,21.61,642.63
A319,7.769,37.16,997.96
A319,9.189,37.79,695.52
A319,8.014,19.72,840.01
A319,8.678,64.01,1134.78
A319,28.214,44.46,1331.67
A319,6.889,48.28,990.59
A319,9.424,57.35,695.76
A319,7.944,32.68,575.24
A319,8.302,46.9,1275.06
A319,99.02,44.65,659.28
A319,7.526,26.14,923.14
A319,6.969,23.56,703.21
A319,5.823,42.63,202.95
A319,9.465,57.4,580.62
A319,6.392,29.49,896.93
A319,6.802,65.99,948.68
A319,8.34,28.65,1419.49
A319,5.788,38.11,2127.07
A319,8.092,50.71,1982.81
A319,8.546,16.83,1629.84
A319,9.584,22.97,791.74
A319,7.236,20.22,701.5
A319,7.622,63.96,607.9
A319,8.652,28,267.26
A319,8.819,66.26,562.82
A319,8.945,20.8,1270.2
A319,8.588,47.78,593.08
A319,6.282,47.48,948.09
A319,7.412,36.43,355.73
A319,9.258,13.85,481.72
A319,8.503,63.27,290.53
A319,8.125,33.3,1622.3
A319,8.916,29.68,1462.75
A319,8.562,62.84,760.46
A319,8.955,24.61,832.68
A319,8.709,25.39,839.87
A319,6.484,50.84,576.1
A319,8.086,38.13,1756.02
A319,6.004,36.87,2049.08
A319,8.288,25.34,1795.81
A319,8.673,52.72,422.75
A319,7.658,54.34,745.09
A319,7.786,62.75,1132.37
A319,6.017,41.55,1230.61
A319,7.698,46.7,1965.54
A319,7.549,31.09,1943.07
A319,7.773,22.4,1391.43
A319,6.351,26.98,791.29
A319,7.446,14.38,261.88
A319,9.05,44.71,1344.13
A319,7.468,12.87,426.08
A319,8.349,44.41,427.6
A319,9.389,15.46,1973.32
A319,5.972,52.74,588.4
A319,5.791,57.89,1371.02
A319,7.102,11.57,542.31
A319,7.677,46.41,317.78
A319,9.515,15.17,760.89
A319,7.587,51.67,1938.17
A319,7.994,59.29,375.09
A319,7.325,12.63,1255.08
A319,9.247,18.69,2181.63
A319,7.285,43.04,1393.29
A319,6.581,38.29,1656.43
A319,8.931,35.28,1649.04
A319,8.29,11.66,519.81
A319,7.649,30.92,1832.37
A319,7.641,67.62,1879.97
A319,5.688,18.65,2084.1
A319,8.722,64.1,517.26
A319,6.303,20.24,1206.98
A319,6.199,43.74,723.04
A319,6.238,43.31,342.49
A319,7.384,22.82,1430.61
A319,6.605,14.72,1134.51
A319,6.267,14.76,1592.83
A319,5.998,63.94,278.4
A319,7.398,23.31,1170.49
A319,8.325,26.98,687.93
A319,6.876,14.86,1970.01
A319,5.773,33.89,1471.28
A319,7.738,18.53,1878.91
A319,6.45,18.66,1089.5
A319,7.07,62.64,1535.79
A319,6.702,51.53,2113.21
A319,6.893,24.85,784.64
A319,6.787,13.45,1339.13
A319,9.529,34.74,534.39
A319,6.897,61.8,2157.39
A319,9.551,28.7,1281.08
A319,9.143,34.46,517.83
A319,8.368,22.71,472.97
A319,6.185,36.81,960.15
A319,8.908,36.88,1856.37
A319,8.811,46.57,2181.29
A319,7.141,24.37,652.65
A319,8.921,30.65,880.77
A319,7.605,20.47,572.25
A319,5.826,40.47,705.6
A319,8.896,12.32,1316.56
A319,8.65,42.07,2197.43
A319,6.237,34.49,1605.39
A319,6.994,19.84,1137.01
A319,9.439,40.5,568.19
A319,8.08,24.63,1989.24
A319,6.077,34.63,1374.59
A319,7.699,55.59,699.43
A319,7.901,53.92,489.83
A319,6.283,62.22,1257.12
A319,6.231,20.68,973.14
A319,7.808,20.03,234.41
A319,8.768,37.11,1147.77
A319,7.815,37.37,1526.21
A319,9.467,49.27,1739.09
A319,5.69,39.92,1886.27
A319,5.881,13.53,1298.22
A319,7.648,10.47,1192.31
A319,5.924,21.83,1094.51
A319,7.971,62.05,2072.86
A319,5.968,42.68,1606.51
A319,7.01,54.89,968
A319,9.405,23.57,619.9
A319,8.281,15.07,2046.62
A319,7.28,58.98,1673.51
A319,7.332,29.1,1020.05
A319,5.946,40.51,1479.22
A319,8.36,16.28,1273.4
A319,9.189,54.47,963.7
A319,6.552,19.97,1329.33
A319,7.115,11.13,520.39
A319,6.003,27.65,1075.19
A319,6.272,13.99,836.01
A319,7.616,12.54,457.47
A319,9.594,46.75,4062.75
A319,9.072,61.28,454.64
A319,7.118,42.31,789.97
A319,6.59,41.76,1067
A319,7.687,15.73,214.84
A319,8.643,36.2,1623.35
A319,7.304,50.55,657.77
A319,5.67,38.92,2193.45
A319,7.959,55.94,275.52
A319,6.513,56.69,607.24
A319,8.756,53.68,2157.75
A319,5.658,10.56,1698.22
A319,6.774,49.58,292.59
A319,6.167,52.97,2081.89
A319,6.359,64.97,1060.59
A319,7.26,41.1,1867.07
A319,5.634,59.21,1004.04
A319,7.47,53.75,1065.15
A319,8.839,21.54,1840.93
A319,9.379,45.35,947.73
A319,8.157,47.36,1599.24
A319,7.131,57.2,727.71
A319,7.749,21.19,1329.18
A319,8.575,20.55,615.85
A319,6.673,49.82,1412.93
A319,8.835,30.68,207.36
A319,7.818,18.35,529.93
A319,8.145,27.86,418.37
A319,9.399,25.96,261.44
A319,9.54,13.75,1663.74
A319,8.242,42.56,491.39
A319,5.899,63.23,1277
A319,6.264,27.19,381.1
A319,8.559,39.39,705.78
A319,8.911,15.6,690.23
A319,5.815,47.56,1930.97
A319,7.907,33.22,1486.4
A319,8.937,14.25,354.41
A319,9.112,12.06,902.06
A319,6.401,21.7,1471.23
A319,8.42,34.76,1234.04
A319,9.167,33.21,810.21
A319,7.75,56.82,469.97
A319,9.33,13.22,1809.84
A319,9.553,48.96,623.95
A319,8.157,32.51,975.26
A319,7.611,33.92,2125.37
A319,7.92,30.47,1573.39
A319,6.729,50.48,2011.75
A319,8.442,17.05,1023.87
A319,5.688,54.86,500.61
A319,9.347,58.04,2039.09
A319,8.044,27.73,1230.14
A319,6.87,27.62,1530.86
A319,6.119,34.03,1719.64
A319,7.393,41.17,1943.78
A319,9.259,11.13,1444.15
A319,6.94,16.31,292.12
A319,8.287,60.36,908.27
A319,5.737,56.76,944.83
A319,7.566,67.38,1842.56
A319,7.579,14.91,292.78
A319,6.786,14.98,1806.17
A319,6.532,24.34,1232.74
A319,8.442,11.71,256.6
A319,9.51,53.81,1325.61
A319,6.718,68.2,1800.74
A319,6.838,34.2,1619.03
A319,7.344,15.43,325.93
A319,7.052,29.81,553.81
A319,8.385,14.67,1201.59
A319,8.826,49.62,1723.94
A319,8.592,52.47,1599.36
A319,8.363,53.79,291.36
A319,8.509,27.52,669.68
A319,7.402,33.67,1944.56
A319,8.357,65.02,2009.08
A319,9.482,59.58,257.41
A319,6.924,50.01,502.21
A319,6.566,59.79,1241.07
A319,5.994,49.3,2151.23
A319,9.598,69.58,715
A319,7.029,59.12,1842.99
A319,6.739,39.41,1685.54
A319,6.837,12.78,1869.69
A319,6.337,43.9,1796.99
A319,5.615,37.81,1703.19
A319,6.409,41.2,256.84
A319,6.623,57.71,1474.82
A319,6.571,15.29,1902.24
A319,9.495,61.14,1812.4
A319,7.49,16.36,821.06
A319,5.904,68.62,1474.4
A319,7.888,57.29,2093.5
A319,6.434,56.85,1732.84
A319,7.927,50.07,424.99
A319,6.691,10.97,1637.01
A319,8.148,40.16,1717.83
A319,7.561,50.27,1772.59
A319,8.909,19.95,2016.37
A319,8.847,53.49,1425.01
A319,8.994,67.74,1879.41
A319,5.938,59.07,468.59
A319,8.982,32.79,1084.58
A319,9.025,31.47,1835.27
A319,9.334,56.96,784.35
A319,7.767,46.03,2016.56
A319,8.64,10.96,1670.76
A319,9.222,13.05,1512.45
A319,8.97,28.05,1690.15
A319,9.269,32.55,877.38
A319,5.652,15.11,660.49
A319,6.605,13.31,1387.21
A319,7.567,33.05,824.21
A319,6.351,34.3,1542.01
A319,8.734,46.68,1181.64
A319,6.325,37.55,496.32
A319,9.089,53.63,1833.33
A319,8.37,40.43,242.97
A319,6.187,46.33,2067.59
A319,8.102,55.85,881.35
A319,6.517,46.3,1897.4
A319,8.992,67.87,896.63
A319,8.899,61.24,1240.78
A319,8.939,28.03,1734.55
A319,8.029,34.72,1109.08
A319,7.79,37.94,1028.91
A319,7.618,54.19,1286.78
A319,7.117,27.97,1216.72
A319,6.597,13.83,1766.65
A319,5.972,49.26,1628.2
A319,5.752,17.38,1990.88
A319,9.404,43.29,1296.14
A319,8.397,20.36,1979.61
A319,7.654,26.67,1506.69
A319,8.57,34.79,656.22
A319,9.537,32.65,1120.14
A319,7.987,34.44,1468.91
A319,6.254,52.15,1977.07
A319,8.587,61.17,1656.64
A319,9.176,31.18,1074.56
A319,8.735,41.19,1848.59
A319,7.066,51.5,1340.96
A319,6.229,68.85,1551.99
A319,5.854,25.48,1682.47
A319,6.887,57.55,1837.75
A319,9.499,21.69,1310.87
A319,8.525,38.67,925.06
A319,6.294,36.32,1310.41
A319,8.794,34.01,680.5
A319,8.437,38.35,517.2
A319,9.466,46.83,619.44
A319,7.077,53.43,1484.09
A319,5.824,31.07,1403.49
A319,8.546,26.51,802.41
A319,6.506,50.17,1474.71
A319,7.925,48.65,2016.29
A319,7.117,12.66,498.95
A319,9.406,10.14,1273.52
A319,9.1,10.56,1110.49
A319,8.591,35.24,743.76
A319,5.838,35.06,582.2
A319,6.857,68.09,766.38
A319,7.824,36.87,1420.04
A319,9.399,11.13,1288.53
A319,8.247,11.58,340.21
A319,6.327,69.04,1456.4
A319,6.443,57.2,2178.34
A319,7.746,17.58,1992.92
A319,7.646,56.62,1114.42
A319,7.189,11.96,827.65
A319,9.418,58.14,250.89
A319,7.749,54.83,236.16
A319,9.228,43.5,2054.42
A319,6.311,11.91,1127.01
A319,5.83,56.56,373.2
A319,5.766,67.58,340.31
A319,9.483,31.28,1856.07
A319,6.57,18.97,2050.34
A319,7.929,19.51,1150.09
A319,9.178,51.19,857.4
A319,8.293,21.88,1388.46
A319,7.621,11.8,928.56
A319,7.456,41.99,756.79
A319,5.911,65.52,1935.17
A319,6.17,23.77,1693.33
A319,8.263,26.38,1668.99
A319,6.481,59.54,1281.33
A319,8.499,57.32,652.41
A319,7.648,31.7,1883.09
A319,8.261,47.33,984.48
A319,5.736,19,1350.29
A319,8.602,66.97,556.74
A319,5.669,35.6,2193.13
A319,5.745,44.83,476.42
A319,8.273,62.78,963.53
A319,8.942,27.33,1979.19
A319,7.625,15.13,696.73
A319,7.372,12.68,432.2
A319,8.328,58.79,2154.25
A319,8.608,33.26,1475.24
A319,8.593,69.69,1126.82
A319,8.472,10.59,556.79
A319,7.686,55.9,339.22
A319,5.65,14.31,951.06
A319,5.815,42.59,955.81
A319,5.738,48.92,848.46
A319,8.853,33.67,768.49
A319,5.698,54.06,547.76
A319,8.345,69.17,666.28
A319,8.316,64.48,1413.74
A319,6.217,15.13,509.38
A319,6.868,29.74,1713.66
A319,6.269,30.29,1507.21
A319,6.958,68.64,1089.84
A319,7.127,48.22,860.37
A319,7.539,25.19,989.96
A319,8.504,24.18,1167.95
A319,6.933,41.4,1830.33
A319,5.869,29.1,1588.25
A319,7.983,68.48,691.1
A319,9.528,58.65,1950.88
A319,8.719,34.82,2001.54
A319,7.108,52.02,209.19
A319,6.023,58.59,1787.96
A319,8.947,20.79,894.25
A319,6.388,45.81,1584.18
A319,6.308,64.91,1464.73
A319,8.608,59.66,334.03
A319,9.2,23.27,648.43
A319,6.191,52.22,1410.14
A319,7.521,62.9,614.34
A319,8.341,56,1183.55
A319,6.587,52.3,1543.75
A319,9.598,53.41,1669.75
A319,5.968,55.4,1570.69
A319,6.725,52.02,1471.93
A319,8.461,28.34,1189.43
A319,8.757,54.99,638.94
A319,7.351,19.8,392.35
A319,8.63,52.13,373.04
A319,7.265,15.35,1605.27
A319,6.927,14.05,242.37
A319,7.691,11.38,882.71
A319,9.021,68.94,604.48
A319,8.933,52.46,1457.33
A319,8.766,29.74,986.83
A319,6.272,59.05,435.88
A319,6.899,11.83,1639.64
A319,9.575,39.46,1792.51
A319,6.462,49.38,764.7
A319,8.044,22.11,366.61
A319,7.528,61.1,1991.06
A319,7.027,37.18,952.47
A319,6.38,47.87,1712.5
A319,7.338,66.32,1658.04
A319,7.082,69.87,2048.18
A319,7.174,47.5,261.41
A319,8.383,19.28,1951.47
A319,7.424,27.58,833.8
A319,6.661,31.4,813.19
A319,6.456,65.3,785.87
A319,8.656,55.09,1734.74
A319,5.852,32.61,1937.08
A319,7.905,44.89,1622.04
A319,9.104,66.48,583.8
A319,8.499,54.93,1833.56
A319,7.973,62.7,1500.43
A319,7.171,14.28,1663.6
A319,7.376,68.09,1332.02
A319,9.394,50.04,1141.29
A319,6.898,32.93,1024.08
A319,8.088,42.97,1488.44
A319,6.59,52.32,1132.26
A319,9.557,43.46,1156.24
A319,6.998,63.9,1197.47
A319,7.118,41.88,1852.3
A319,6.555,34.62,202.92
A319,6.426,44.49,1705.2
A319,6.951,11.84,2054.59
A319,9.376,21.85,1234.9
A319,8.45,62.37,387.01
A319,6.901,68.98,1234.9
A319,7.161,12.95,701.89
A319,7.124,53.03,1048
A319,6.605,67.76,1626.79
A319,8.625,40.14,654.48
A319,5.88,52.8,395.29
A319,6.694,69.55,2108.64
A319,6.373,69.94,673.61
A319,6.111,27.82,1519.24
A319,7.972,47.96,1682.64
A319,7.645,19.51,1853.17
A319,8.885,69.21,1066.54
A319,6.228,28.19,406.02
A319,9.056,23.18,1992.51
A319,9.193,14.89,1099.34
A319,7.975,32.78,663.65
A319,8.704,11.26,1999.14
A319,6.728,63.63,944.93
A319,8.031,26.59,257.82
A319,8.765,54.89,2072.45
A319,6.598,64.83,1801.4
